Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2011-01-06,147.130005,148.78999299999998,146.820007,148.66000400000001,5029200,127.431758,IBM
2011-01-07,148.78999299999998,148.860001,146.940002,147.929993,4135700,126.80599,IBM
2011-01-10,147.580002,148.059998,147.229996,147.639999,3633400,126.55740700000001,IBM
2011-01-11,148.199997,148.350006,146.75,147.279999,4163600,126.248814,IBM
2011-01-12,147.990005,149.28999299999998,147.669998,149.100006,4091500,127.808929,IBM
2011-01-13,149.240005,149.28999299999998,148.25,148.820007,3445800,127.568913,IBM
2011-01-14,148.889999,150.0,148.470001,150.0,4544200,128.580406,IBM
2011-01-18,149.820007,151.46000700000002,149.380005,150.649994,9176900,129.137583,IBM
2011-01-19,153.259995,156.130005,152.830002,155.690002,12141000,133.457892,IBM
2011-01-20,154.529999,155.96000700000002,154.449997,155.800003,7439900,133.552185,IBM
2011-01-21,156.399994,156.779999,154.96000700000002,155.5,7009000,133.295021,IBM
2011-01-24,155.419998,159.78999299999998,155.330002,159.630005,7285100,136.835273,IBM
2011-01-25,159.21000700000002,164.350006,159.0,161.440002,8260800,138.386807,IBM
2011-01-26,161.669998,161.899994,160.419998,161.03999299999998,5353100,138.043918,IBM
2011-01-27,161.429993,162.179993,160.860001,161.070007,4878300,138.069647,IBM
2011-01-28,161.050003,161.919998,158.669998,159.21000700000002,6725600,136.475249,IBM
2011-01-31,159.179993,162.0,158.679993,162.0,7197200,138.866839,IBM
2011-02-01,162.110001,163.940002,162.0,163.559998,5831300,140.204073,IBM
2011-02-02,163.399994,163.600006,162.610001,163.300003,3904000,139.98120500000002,IBM
2011-02-03,163.16000400000001,164.199997,162.809998,163.529999,4683400,140.178358,IBM
2011-02-04,163.479996,164.139999,163.220001,164.0,3755200,140.581244,IBM
2011-02-07,164.080002,164.990005,164.020004,164.820007,4928100,141.284157,IBM
2011-02-08,164.820007,166.25,164.320007,166.050003,5612600,142.902077,IBM
2011-02-09,165.619995,165.970001,164.100006,164.649994,4633600,141.697234,IBM
2011-02-10,163.899994,165.0,163.179993,164.08999599999999,5737800,141.215302,IBM
2011-02-11,163.979996,165.009995,163.309998,163.850006,5185200,141.008767,IBM
2011-02-14,164.179993,164.380005,162.850006,163.220001,4129800,140.466587,IBM
2011-02-15,162.889999,163.570007,162.520004,162.83999599999999,3768700,140.139556,IBM
2011-02-16,163.330002,163.600006,162.75,163.399994,3216000,140.621488,IBM
2011-02-17,163.300003,164.669998,162.850006,164.240005,3230500,141.3444,IBM
2011-02-18,164.46000700000002,164.83999599999999,164.100006,164.83999599999999,4245000,141.86075,IBM
2011-02-22,163.570007,164.259995,161.779999,161.949997,5209300,139.373626,IBM
2011-02-23,161.809998,162.679993,160.139999,160.179993,5998100,137.85036599999998,IBM
2011-02-24,159.630005,161.270004,159.029999,160.770004,5707500,138.358128,IBM
2011-02-25,161.059998,162.33999599999999,160.860001,162.279999,4518400,139.657624,IBM
2011-02-28,162.360001,162.990005,161.240005,161.880005,4773000,139.313391,IBM
2011-03-01,163.149994,163.149994,159.880005,159.970001,4382800,137.669648,IBM
2011-03-02,159.429993,161.110001,159.41000400000001,160.16000400000001,3413000,137.83316399999998,IBM
2011-03-03,161.419998,164.0,161.270004,163.479996,4057800,140.690338,IBM
2011-03-04,163.399994,164.309998,160.649994,161.830002,4910700,139.270359,IBM
2011-03-07,161.600006,162.979996,158.850006,159.929993,5312000,137.63521699999998,IBM
2011-03-08,159.699997,163.429993,159.21000700000002,162.279999,5384800,139.657624,IBM
2011-03-09,163.470001,167.720001,163.279999,165.860001,9086600,142.738562,IBM
2011-03-10,164.639999,164.669998,161.380005,162.020004,7041400,139.433874,IBM
2011-03-11,162.399994,163.240005,160.83999599999999,162.429993,4271000,139.786709,IBM
2011-03-14,161.16000400000001,161.979996,160.08999599999999,161.389999,4300500,138.891694,IBM
2011-03-15,157.350006,159.639999,156.880005,159.020004,6475800,136.85208400000002,IBM
2011-03-16,156.520004,156.979996,151.71000700000002,153.0,12195300,131.67128799999998,IBM
2011-03-17,154.0,154.5,152.699997,154.179993,7376400,132.686786,IBM
2011-03-18,156.5,156.949997,154.320007,155.889999,11450000,134.158412,IBM
2011-03-21,157.639999,159.630005,157.070007,157.679993,5784000,135.698875,IBM
2011-03-22,158.559998,158.610001,157.520004,158.0,4311400,135.97427199999998,IBM
2011-03-23,158.0,160.080002,157.529999,159.529999,4782500,137.290984,IBM
2011-03-24,160.229996,160.71000700000002,158.83999599999999,160.03999299999998,5145800,137.729883,IBM
2011-03-25,160.979996,162.740005,160.759995,162.179993,5348100,139.571559,IBM
2011-03-28,161.53999299999998,162.580002,161.119995,161.369995,3972800,138.874478,IBM
2011-03-29,161.33999599999999,163.08999599999999,161.149994,162.880005,3456700,140.17398799999998,IBM
2011-03-30,163.550003,163.990005,163.020004,163.600006,3394100,140.79361799999998,IBM
2011-03-31,163.399994,164.059998,163.070007,163.070007,3860800,140.337503,IBM
2011-04-01,163.699997,164.419998,163.03999299999998,164.270004,4381900,141.370216,IBM
2011-04-04,164.419998,164.729996,163.580002,164.25,3225100,141.353001,IBM
2011-04-05,163.809998,164.699997,163.619995,163.990005,3612000,141.12925,IBM
2011-04-06,164.33999599999999,164.75,163.809998,164.03999299999998,3774800,141.17227,IBM
2011-04-07,164.100006,164.550003,163.279999,164.380005,3666700,141.46488300000001,IBM
2011-04-08,164.350006,164.380005,163.16000400000001,164.050003,3324100,141.18088400000002,IBM
2011-04-11,163.440002,164.0,163.110001,163.949997,4139000,141.094819,IBM
2011-04-12,163.360001,163.770004,162.300003,163.25,3860600,140.492404,IBM
2011-04-13,163.970001,164.929993,163.66000400000001,163.949997,4181900,141.094819,IBM
2011-04-14,163.83999599999999,165.360001,163.16000400000001,164.970001,4699100,141.972632,IBM
2011-04-15,165.0,166.33999599999999,164.869995,166.21000700000002,5287400,143.039776,IBM
2011-04-18,164.639999,166.16000400000001,162.860001,165.940002,6160700,142.807411,IBM
2011-04-19,165.71000700000002,166.380005,164.440002,165.399994,6547100,142.342682,IBM
2011-04-20,163.100006,165.889999,162.190002,164.75,10891800,141.783299,IBM
2011-04-21,165.630005,168.449997,164.860001,168.279999,6158400,144.821204,IBM
2011-04-25,167.649994,168.770004,167.229996,167.669998,3583800,144.29623999999998,IBM
2011-04-26,167.990005,169.199997,167.399994,168.490005,7300000,145.001935,IBM
2011-04-27,168.610001,170.58999599999999,168.46000700000002,170.369995,5299700,146.619848,IBM
2011-04-28,169.990005,171.380005,169.699997,170.779999,5087700,146.97269599999998,IBM
2011-04-29,171.100006,173.0,170.479996,170.580002,5587700,146.800579,IBM
2011-05-02,172.110001,173.53999299999998,171.490005,172.149994,5396200,148.151709,IBM
2011-05-03,172.0,173.479996,171.229996,172.869995,5007700,148.77133999999998,IBM
2011-05-04,172.360001,172.619995,169.58999599999999,170.619995,6890300,146.834997,IBM
2011-05-05,170.470001,170.869995,167.5,168.46000700000002,7332000,144.97611899999998,IBM
2011-05-06,169.029999,170.149994,168.240005,168.889999,4839400,145.996161,IBM
2011-05-09,168.389999,169.850006,168.309998,169.100006,3594800,146.1777,IBM
2011-05-10,169.25,170.899994,169.220001,170.380005,4934800,147.284189,IBM
2011-05-11,170.300003,170.520004,167.820007,169.5,4663200,146.523473,IBM
2011-05-12,169.649994,172.770004,168.649994,172.240005,5138500,148.89205800000002,IBM
2011-05-13,171.699997,172.149994,169.440002,169.919998,5167400,146.886539,IBM
2011-05-16,169.809998,170.639999,168.309998,168.860001,4662200,145.97022900000002,IBM
2011-05-17,167.850006,171.41000400000001,166.529999,170.5,8773200,147.38791799999998,IBM
2011-05-18,170.100006,171.190002,169.46000700000002,170.440002,4154300,147.336054,IBM
2011-05-19,170.860001,171.399994,169.320007,170.58999599999999,3538300,147.465715,IBM
2011-05-20,170.399994,171.149994,169.380005,170.16000400000001,4869900,147.09401,IBM
2011-05-23,168.580002,168.690002,167.070007,168.259995,5144000,145.451556,IBM
2011-05-24,168.5,168.669998,167.509995,167.990005,4643600,145.218166,IBM
2011-05-25,167.630005,168.399994,167.509995,167.75,3882100,145.010694,IBM
2011-05-26,167.46000700000002,167.5,165.899994,167.179993,5771300,144.517954,IBM
2011-05-27,167.91000400000001,168.470001,167.0,167.5,3277600,144.79458300000002,IBM
2011-05-31,168.440002,169.889999,167.820007,168.929993,9123400,146.030733,IBM
2011-06-01,168.899994,169.580002,166.5,166.559998,5134600,143.982002,IBM
2011-06-02,166.440002,167.100006,165.71000700000002,166.08999599999999,3854100,143.575712,IBM
2011-06-03,164.300003,165.889999,164.130005,165.050003,5230500,142.676694,IBM
2011-06-06,164.759995,165.580002,164.270004,164.75,3619700,142.417358,IBM
2011-06-07,165.110001,165.240005,163.610001,163.690002,4187000,141.501048,IBM
2011-06-08,163.270004,164.850006,163.259995,164.33999599999999,3850800,142.06293200000002,IBM
2011-06-09,165.009995,165.96000700000002,164.759995,164.83999599999999,4299800,142.495155,IBM
2011-06-10,164.570007,164.83999599999999,162.869995,163.179993,4683300,141.060173,IBM
2011-06-13,164.440002,164.46000700000002,162.729996,163.169998,5099200,141.051533,IBM
2011-06-14,163.869995,164.570007,163.649994,164.119995,7050000,141.872753,IBM
2011-06-15,162.75,163.41000400000001,161.520004,162.330002,5225600,140.325402,IBM
2011-06-16,162.059998,163.630005,161.779999,162.669998,4861100,140.61931,IBM
2011-06-17,164.240005,165.100006,163.580002,164.440002,7149700,142.149382,IBM
2011-06-20,163.699997,165.610001,163.58999599999999,165.020004,3956100,142.65076200000001,IBM
2011-06-21,165.199997,166.75,164.0,166.220001,5387300,143.688094,IBM
2011-06-22,165.58999599999999,166.809998,165.100006,165.679993,3960500,143.22128600000002,IBM
2011-06-23,164.059998,166.729996,163.800003,166.119995,5271500,143.601644,IBM
2011-06-24,165.850006,165.940002,164.570007,165.070007,4402600,142.69398700000002,IBM
2011-06-27,165.740005,168.240005,165.21000700000002,167.619995,4446700,144.898312,IBM
2011-06-28,168.330002,170.699997,168.009995,170.009995,4850000,146.964335,IBM
2011-06-29,170.610001,170.860001,169.820007,170.53999299999998,3817100,147.42248999999998,IBM
2011-06-30,171.110001,172.449997,170.75,171.550003,5105200,148.29558899999998,IBM
2011-07-01,171.610001,174.649994,171.490005,174.53999299999998,5181700,150.880271,IBM
2011-07-05,173.520004,175.429993,173.520004,175.429993,4586500,151.649627,IBM
2011-07-06,175.190002,177.770004,175.08999599999999,177.71000700000002,5885900,153.620575,IBM
2011-07-07,176.779999,177.270004,176.119995,176.479996,5905600,152.557297,IBM
2011-07-08,175.490005,176.490005,175.009995,176.490005,4399900,152.56595,IBM
2011-07-11,174.899994,176.149994,174.610001,174.990005,4766500,151.269282,IBM
2011-07-12,174.929993,175.369995,173.889999,174.050003,5036800,150.456702,IBM
2011-07-13,174.899994,176.320007,174.0,174.320007,4074800,150.69010600000001,IBM
2011-07-14,174.399994,176.100006,173.83999599999999,174.229996,4613100,150.612296,IBM
2011-07-15,175.080002,175.940002,174.070007,175.53999299999998,5347100,151.74471699999998,IBM
2011-07-18,174.729996,176.46000700000002,173.580002,175.279999,8879700,151.51996599999998,IBM
2011-07-19,178.740005,185.21000700000002,178.649994,185.21000700000002,13245600,160.103914,IBM
2011-07-20,183.83999599999999,184.419998,183.0,183.649994,5901100,158.755368,IBM
2011-07-21,183.58999599999999,185.5,182.899994,184.899994,4958400,159.835925,IBM
2011-07-22,184.639999,185.630005,184.259995,185.179993,4516100,160.077969,IBM
2011-07-25,183.889999,184.96000700000002,183.279999,183.699997,4987000,158.79859299999998,IBM
2011-07-26,182.940002,184.050003,182.649994,182.929993,4356200,158.13296699999998,IBM
2011-07-27,182.009995,182.91000400000001,180.929993,181.350006,5806800,156.767155,IBM
2011-07-28,181.059998,183.270004,180.880005,181.800003,4478800,157.156153,IBM
2011-07-29,180.259995,183.429993,179.729996,181.850006,6665600,157.199377,IBM
2011-08-01,182.600006,183.690002,178.5,180.75,5842700,156.248482,IBM
2011-08-02,179.949997,182.28999299999998,177.860001,178.050003,5770400,153.91448300000002,IBM
2011-08-03,177.669998,179.229996,175.41000400000001,178.830002,6722000,154.588749,IBM
2011-08-04,176.5,177.919998,171.179993,171.479996,11022300,148.235071,IBM
2011-08-05,172.100006,174.220001,166.520004,172.979996,11871800,149.531739,IBM
2011-08-08,168.830002,172.610001,166.0,166.220001,15804900,144.313801,IBM
2011-08-09,167.46000700000002,171.050003,162.0,170.610001,12517600,148.12524,IBM
2011-08-10,168.179993,169.229996,161.850006,162.53999299999998,13993600,141.118783,IBM
2011-08-11,164.100006,168.770004,162.940002,166.729996,9175600,144.756583,IBM
2011-08-12,168.5,169.380005,165.830002,168.199997,5187000,146.032852,IBM
2011-08-15,171.320007,174.0,170.389999,172.990005,7645400,150.191584,IBM
2011-08-16,172.190002,172.190002,169.0,171.240005,5585400,148.672217,IBM
2011-08-17,171.570007,172.990005,169.889999,171.479996,5129700,148.880579,IBM
2011-08-18,166.320007,166.46000700000002,160.16000400000001,163.830002,15082600,142.23878,IBM
2011-08-19,162.169998,163.940002,157.130005,157.53999299999998,14068600,136.777735,IBM
2011-08-22,161.350006,161.679993,157.619995,158.979996,7249100,138.027959,IBM
2011-08-23,160.649994,164.58999599999999,159.529999,164.320007,6923300,142.664208,IBM
2011-08-24,164.130005,166.830002,163.350006,166.759995,6427000,144.78262800000002,IBM
2011-08-25,167.520004,168.529999,164.850006,165.580002,6751600,143.758147,IBM
2011-08-26,164.850006,169.330002,163.279999,169.139999,6438200,146.848971,IBM
2011-08-29,170.580002,172.720001,170.360001,172.619995,5293400,149.870337,IBM
2011-08-30,172.059998,173.509995,170.880005,172.509995,4477700,149.774833,IBM
2011-08-31,173.28999299999998,173.720001,170.71000700000002,171.91000400000001,6074200,149.253916,IBM
2011-09-01,172.71000700000002,173.679993,170.119995,170.330002,5463900,147.88214299999999,IBM
2011-09-02,167.690002,168.929993,166.0,166.979996,4979100,144.973635,IBM
2011-09-06,163.059998,165.550003,162.199997,165.110001,5761200,143.350088,IBM
2011-09-07,167.279999,167.899994,166.16000400000001,167.309998,6796600,145.260146,IBM
2011-09-08,167.0,169.580002,165.100006,165.25,6027200,143.47163600000002,IBM
2011-09-09,164.570007,165.190002,160.809998,161.369995,6743900,140.102979,IBM
2011-09-12,160.03999299999998,162.440002,158.759995,162.419998,5247200,141.014602,IBM
2011-09-13,163.639999,163.919998,161.53999299999998,163.429993,4723800,141.89148899999998,IBM
2011-09-14,164.009995,169.66000400000001,161.990005,167.240005,6980700,145.199378,IBM
2011-09-15,168.639999,170.16000400000001,167.229996,170.08999599999999,5464400,147.673768,IBM
2011-09-16,171.330002,172.990005,169.740005,172.990005,11048100,150.191584,IBM
2011-09-19,169.5,173.869995,169.429993,173.130005,4755600,150.313132,IBM
2011-09-20,173.570007,177.429993,172.699997,174.720001,6209600,151.69358200000002,IBM
2011-09-21,175.0,177.669998,172.619995,173.020004,7043100,150.21762900000002,IBM
2011-09-22,168.330002,169.970001,166.5,168.619995,8195600,146.397499,IBM
2011-09-23,166.990005,169.53999299999998,165.759995,169.33999599999999,5586600,147.022611,IBM
2011-09-26,170.96000700000002,174.699997,169.860001,174.509995,6745700,151.511253,IBM
2011-09-27,176.820007,179.619995,176.429993,177.71000700000002,7638800,154.289534,IBM
2011-09-28,177.970001,180.75,177.080002,177.550003,7732200,154.15061699999998,IBM
2011-09-29,179.690002,180.91000400000001,175.529999,179.169998,6944300,155.557113,IBM
2011-09-30,176.009995,178.270004,174.75,174.869995,7807400,151.823809,IBM
2011-10-03,174.360001,177.919998,173.03999299999998,173.28999299999998,9042600,150.45203600000002,IBM
2011-10-04,171.53999299999998,175.070007,168.880005,174.740005,9200000,151.71095,IBM
2011-10-05,174.570007,177.300003,172.679993,176.850006,5851700,153.542873,IBM
2011-10-06,176.809998,181.990005,175.66000400000001,181.690002,7180900,157.745004,IBM
2011-10-07,182.320007,183.720001,181.639999,182.389999,6842600,158.352748,IBM
2011-10-10,183.0,186.630005,182.899994,186.619995,5784800,162.025271,IBM
2011-10-11,184.58999599999999,186.0,184.110001,185.0,5330500,160.618776,IBM
2011-10-12,186.080002,188.0,185.649994,186.119995,5338200,161.59116699999998,IBM
2011-10-13,184.970001,187.5,184.5,186.820007,4399200,162.198924,IBM
2011-10-14,188.190002,190.529999,187.729996,190.529999,5368200,165.419974,IBM
2011-10-17,189.71000700000002,190.16000400000001,185.899994,186.58999599999999,8790300,161.999226,IBM
2011-10-18,178.0,179.380005,176.25,178.899994,15729400,155.322692,IBM
2011-10-19,179.679993,179.809998,177.009995,177.389999,6708300,154.0117,IBM
2011-10-20,178.130005,179.240005,176.169998,177.25,7513800,153.890152,IBM
2011-10-21,179.110001,181.669998,178.75,181.630005,8054200,157.692914,IBM
2011-10-24,181.509995,183.389999,180.619995,182.25,5890600,158.2312,IBM
2011-10-25,181.66000400000001,182.970001,180.009995,180.360001,5373100,156.590284,IBM
2011-10-26,181.740005,182.279999,179.029999,181.970001,5387700,157.988102,IBM
2011-10-27,184.990005,187.0,183.179993,185.880005,7057800,161.382805,IBM
2011-10-28,185.570007,188.070007,185.279999,187.449997,5009800,162.745887,IBM
2011-10-31,185.58999599999999,186.91000400000001,184.630005,184.630005,4710000,160.297543,IBM
2011-11-01,181.550003,183.259995,180.740005,181.350006,5881200,157.449816,IBM
2011-11-02,184.0,185.25,183.029999,183.919998,4136600,159.681108,IBM
2011-11-03,185.130005,187.779999,184.020004,187.300003,4953500,162.61566100000002,IBM
2011-11-04,186.270004,187.139999,184.740005,186.380005,3237600,161.81691,IBM
2011-11-07,186.220001,187.729996,184.75,187.320007,3530800,162.633029,IBM
2011-11-08,187.479996,187.880005,185.509995,187.25,4330600,163.225778,IBM
2011-11-09,184.199997,185.240005,181.16000400000001,182.240005,5494800,158.858567,IBM
2011-11-10,183.580002,184.770004,181.869995,183.350006,3881600,159.826155,IBM
2011-11-11,185.270004,187.830002,185.139999,187.380005,3665300,163.339103,IBM
2011-11-14,189.169998,189.83999599999999,186.850006,187.350006,6038600,163.312954,IBM
2011-11-15,187.490005,189.970001,185.639999,188.75,4585300,164.533328,IBM
2011-11-16,187.820007,189.899994,186.300003,186.619995,4616800,162.676603,IBM
2011-11-17,186.809998,188.830002,183.389999,185.729996,5840500,161.900791,IBM
2011-11-18,186.71000700000002,186.970001,184.66000400000001,185.240005,4440900,161.473667,IBM
2011-11-21,183.369995,183.96000700000002,180.0,181.479996,5145100,158.196067,IBM
2011-11-22,182.220001,182.979996,180.28999299999998,181.309998,4178600,158.04788,IBM
2011-11-23,180.669998,181.490005,177.520004,177.949997,4800900,155.118968,IBM
2011-11-25,178.009995,179.559998,177.059998,177.059998,2232800,154.343156,IBM
2011-11-28,182.71000700000002,182.929993,180.669998,182.21000700000002,4524200,158.832417,IBM
2011-11-29,182.020004,183.309998,180.83999599999999,180.940002,3661600,157.725355,IBM
2011-11-30,184.570007,188.350006,184.21000700000002,188.0,7836800,163.87955300000002,IBM
2011-12-01,187.009995,189.990005,186.770004,189.449997,4858800,165.14351499999998,IBM
2011-12-02,189.919998,191.330002,189.449997,189.66000400000001,4962200,165.326578,IBM
2011-12-05,191.179993,193.610001,190.380005,190.83999599999999,5699400,166.355177,IBM
2011-12-06,190.649994,193.529999,190.320007,192.940002,4144900,168.185752,IBM
2011-12-07,191.990005,194.899994,191.279999,194.050003,5081700,169.153339,IBM
2011-12-08,192.479996,193.800003,191.070007,191.580002,4369000,167.00024,IBM
2011-12-09,192.91000400000001,194.869995,192.399994,194.559998,4847900,169.597901,IBM
2011-12-12,193.639999,193.899994,191.220001,192.179993,3796100,167.523252,IBM
2011-12-13,193.46000700000002,194.300003,190.639999,191.149994,5008400,166.625402,IBM
2011-12-14,189.83999599999999,190.279999,188.0,188.720001,5057700,164.507178,IBM
2011-12-15,190.479996,191.199997,186.889999,187.479996,4474500,163.426265,IBM
2011-12-16,188.009995,188.009995,181.91000400000001,183.570007,11849400,160.01793,IBM
2011-12-19,184.509995,184.690002,182.25,182.889999,5039900,159.425167,IBM
2011-12-20,185.5,187.330002,184.759995,187.240005,4740100,163.217066,IBM
2011-12-21,183.220001,183.5,179.03999299999998,181.470001,9282500,158.187355,IBM
2011-12-22,182.71000700000002,182.800003,181.0,182.03999299999998,5052000,158.684217,IBM
2011-12-23,183.110001,184.850006,181.889999,184.75,3052300,161.046529,IBM
2011-12-27,184.970001,185.850006,184.389999,184.949997,2775200,161.220866,IBM
2011-12-28,185.190002,185.399994,183.33999599999999,183.990005,2872000,160.384042,IBM
2011-12-29,184.070007,186.229996,184.009995,186.179993,2941600,162.29305300000001,IBM
2011-12-30,186.330002,186.479996,183.850006,183.880005,3530900,160.288154,IBM
2012-01-03,186.729996,188.71000700000002,186.0,186.300003,5646000,162.397666,IBM
2012-01-04,185.570007,186.330002,184.940002,185.53999299999998,4346700,161.735166,IBM
2012-01-05,184.809998,185.029999,183.100006,184.66000400000001,4463100,160.96807900000002,IBM
2012-01-06,184.389999,184.479996,182.309998,182.53999299999998,4897100,159.120067,IBM
2012-01-09,182.199997,182.270004,180.270004,181.58999599999999,5201200,158.291954,IBM
2012-01-10,183.229996,183.720001,181.199997,181.309998,5161000,158.04788,IBM
2012-01-11,180.729996,182.809998,180.5,182.320007,4110800,158.928305,IBM
2012-01-12,181.860001,181.91000400000001,178.380005,180.550003,6881000,157.385393,IBM
2012-01-13,179.479996,179.610001,177.350006,179.16000400000001,5279200,156.17373,IBM
